LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"e $150,000-350,000",SIDRAN LAW CORP,2010 CROW CANYON PL STE 100,SAN RAMON,CA,94583,541110,Corporation,Unanswered,Male Owned,Non-Veteran,,11,04/11/2020,"Bank of America, National Association",CA-11
"d $350,000-1 million",ACCENT ELECTRONICS,9340 STEVENS RD,SANTEE,CA,92071,238210,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,42,04/07/2020,City National Bank,CA-50
"e $150,000-350,000",NEAPOLITAN CART WASH LLC,6265 Naples Blvd.,NAPLES,FL,34109,811192,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,51,04/11/2020,Valley National Bank,FL-19
"e $150,000-350,000",OMNI MANAGEMENTSERVICES LLC,1328 Royal Lane,THOROFARE,NJ,08086,531311,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,63,05/08/2020,Tioga-Franklin Savings Bank,NJ-01
"d $350,000-1 million","KETTLE MORAINE HEATING & AIR CONDITIONING, LLC",W325S1767 MICKLE RD,"DELAFIELD, Wisconsin",WI,53018,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,60,04/04/2020,Citizens Bank,WI-05
"d $350,000-1 million",SLT GROUP VI INC.,5077 S WADSWORTH WAY,LITTLETON,CO,80123,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,54,04/28/2020,Bank of the West,CO-06
c $1-2 million,JS HUNTINGTON AUTO SALES,1030 E JERICHO TPKE,Huntington Station,NY,11746,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,98,04/15/2020,Manufacturers and Traders Trust Company,NY-02
"d $350,000-1 million",PLATINUM TRIANGLE TECHNOLOGY GROUP LLC,700 Nimes Rd,LOS ANGELES,CA,90077,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,04/12/2020,"Citibank, N.A.",CA-30
"d $350,000-1 million",TELEFERIC BARCELONA WC LLC,1500 MTN DIABLO BLVD,WALNUT CREEK,CA,94596,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",CA-11
"e $150,000-350,000","FIVE STAR CONCRETE SERVICES, INC.",9299 W OLIVE AVE BLDG 8 STE 81,PEORIA,AZ,85345,238990,,Unanswered,Male Owned,Non-Veteran,,17,05/01/2020,"JPMorgan Chase Bank, National Association",AZ-08
"e $150,000-350,000","HARRIS PERIODONTICS & IMPLANT DENTISTRY, INC.",5138 Cedar Village Drive,Mason,OH,45040,621210,Corporation,Unanswered,Unanswered,Unanswered,,0,04/28/2020,First Merchants Bank,OH-01
"e $150,000-350,000",CURVE TOYS LLC,7230 COLDWATER CANYON AVE,NORTH HOLLYWOOD,CA,91605,446199,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,31,04/05/2020,City National Bank,CA-29
"e $150,000-350,000","GONDOLA HOUSE RESTAURANT, LLC",4613 Lebanon Pike,HERMITAGE,TN,37076,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/13/2020,Franklin Synergy Bank,TN-05
"e $150,000-350,000","EDGE-MGT, LLC.",940 MARTIN LUTHER KING JR BLVD,FARRELL,PA,16121,333249,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/05/2020,Mercer County State Bank,PA-16
"e $150,000-350,000",UNINIT IMAGING INC,3232 EL SEGUNDO BLVD,HAWTHORNE,CA,90250,325910,Corporation,Unanswered,Unanswered,Unanswered,,27,04/14/2020,"Citibank, N.A.",CA-43
"e $150,000-350,000",METRO DUCT SYSTEMS INC-SBA SMALL 7A TERM,1219 ASTORIA BOULEVARD,LONG ISLAND CITY,NY,11102,,Corporation,Unanswered,Unanswered,Unanswered,,9,05/03/2020,"TD Bank, National Association",NY-14
"d $350,000-1 million","RCS COMPANY OF TAMPA, INC.",422 Hobbs Street,TAMPA,FL,33619,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,25,04/09/2020,The Bank of Tampa,FL-14
"d $350,000-1 million",MONTICELLO VINEYARDS,4242 BIG RANCH RD,NAPA,CA,94558,312130,Corporation,Unanswered,Unanswered,Unanswered,,48,04/27/2020,Bank of Marin,CA-05
"e $150,000-350,000",IS SMICK LUMBER,BOX 127,QUINTON,NJ,08072,423310,Corporation,Unanswered,Male Owned,Unanswered,,26,04/27/2020,"Fulton Bank, National Association",NJ-02
"e $150,000-350,000","BENCHMARK SUPPLY & SERVICE, LLC",3479 TECHNOLOGY DR,VENICE,FL,34275,423990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,04/28/2020,First Horizon Bank,FL-17
"d $350,000-1 million",VENERE CORPORATION,2255 KALAKAUA AVE  # 4F,HONOLULU,HI,96815,812199,Employee Stock Ownership Plan(ESOP),Unanswered,Unanswered,Unanswered,,62,04/15/2020,First Hawaiian Bank,HI-01
"e $150,000-350,000",ARDENT MANAGEMENT LLC,1601 BELVEDERE RD SUITE 407S C/O MEYER COMPANIES,WEST PALM BEACH,FL,33406,531312,Corporation,Unanswered,Unanswered,Unanswered,,10,04/15/2020,First Horizon Bank,FL-20
"e $150,000-350,000","GREAT BLUE RESEARCH, INC.",20 Western Blvd. 1st Floor,Glastonbury,CT,06033,541910,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,,04/15/2020,"Citizens Bank, National Association",CT-01
c $1-2 million,IMPACT CNC LLC,1380 S WILLIAMS DR,COLUMBIA CITY,IN,46725,339999,Corporation,White,Male Owned,Non-Veteran,,,04/06/2020,First Merchants Bank,IN-03
"e $150,000-350,000","CONSTRUCTIVE SOLUTIONS, INC",2041 Pioneer Ct Ste 208,San Mateo,CA,94403,236220,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,10,04/14/2020,First Republic Bank,CA-14
c $1-2 million,"TEXAS CORRAL, LLC",4515 Lyndon B. Johnson,DALLAS,TX,75244,722513,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,04/10/2020,Simmons Bank,TX-24
"d $350,000-1 million","JEFFREY DEMURE &AMP; ASSOCIATES ARCHITECTS PLANNERS, INC.",5905 Granite Lake Dr Ste 140,Granite Bay,CA,95746,541310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,29,05/01/2020,"JPMorgan Chase Bank, National Association",CA-04
"d $350,000-1 million",ALLIED CONTRACTORS INCORPORATED,204 E. PRESTON STREET,BALTIMORE,MD,21202,237310,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",MD-07
"d $350,000-1 million",IDA CLAIRE THE QUARRY LLC,16400 DALLAS PKWY Suite 100,DALLAS,TX,75248,722511,Corporation,White,Male Owned,Veteran,,100,04/13/2020,Truist Bank d/b/a Branch Banking & Trust Co,TX-03
"e $150,000-350,000",SPITZ AUTO PARTS INC,12570 STATE ROUTE 30,IRWIN,PA,15642,441310,Corporation,Unanswered,Unanswered,Unanswered,,21,07/21/2020,Commercial Bank & Trust of PA,PA-14
"e $150,000-350,000",STEWPOT COMMUNITY SERVICES INC,1100 W CAPITOL ST,JACKSON,MS,39203,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,23,04/09/2020,BankPlus,MS-02
"e $150,000-350,000",IN GATHERING INC.,3319 SKYLINE DR,RAPID CITY,SD,57701,722513,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,50,04/06/2020,Security First Bank,SD-00
"d $350,000-1 million",BV LAS VEGAS LLC,631 Grove Street,JERSEY CITY,NJ,07310,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,105,04/29/2020,"Bank of America, National Association",NJ-08
"e $150,000-350,000","SOUTHWEST PEDIATRICS, INC",6526 Landsdowne Avenue,SAINT LOUIS,MO,63109,621111,Corporation,Unanswered,Unanswered,Unanswered,,25,04/10/2020,Carrollton Bank,MO-01
"d $350,000-1 million",HAMPTON FAMILY PRACTICE PLLC,9A Manhattan Square,HAMPTON,VA,23666,621111,Partnership,Unanswered,Unanswered,Unanswered,,0,04/09/2020,Towne Bank,VA-03
"e $150,000-350,000",RFK BUSINESS SOLUTIONS INC,733 N Route 83 219,Bensenville,IL,60106,561330,Corporation,Unanswered,Unanswered,Unanswered,,61,05/02/2020,"Kabbage, Inc.",IL-08
"d $350,000-1 million","HMIA, LLC","2626 Canal Street, 3rd Floor 0.0",New Orleans,LA,70119,524210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,55,04/09/2020,"JPMorgan Chase Bank, National Association",LA-02
"e $150,000-350,000","G&W TOWING, INC.",965 W. 18TH STREET,COSTA MESA,CA,92627,488410,Corporation,White,Male Owned,Non-Veteran,,15,04/07/2020,Sunwest Bank,CA-48
"e $150,000-350,000","JOSEPH REICH TRUCKING, INC.",1084 550N AVE,VERSAILLES,IL,62378,484220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,17,04/09/2020,Farmers and Merchants State Bank of Bushnell,IL-18
"d $350,000-1 million","SUNRISE TELECOM, INC.",390 E DEVON AVE STE 202,ROSELLE,IL,60172,237130,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,53,04/05/2020,"Barrington Bank & Trust Company, National Association",IL-08
c $1-2 million,KSOFT SYSTEMS INC.,340 RARITAN CENTER PKWY,EDISON,NJ,08837,541511,Corporation,Unanswered,Unanswered,Unanswered,,50,04/13/2020,Columbia Bank,NJ-06
"e $150,000-350,000","MARGO STATE LINE, INC",2562 Cabot Commerce Drive,JACKSONVILLE,FL,32226,561730,Corporation,Unanswered,Unanswered,Unanswered,,0,04/11/2020,BBVA USA,FL-04
b $2-5 million,SUPPORT SERVICES GROUP INC,300 S 13TH ST,WACO,TX,76701,561422,Corporation,White,Male Owned,Unanswered,,250,04/04/2020,Amarillo National Bank,TX-17
b $2-5 million,ALTERNATIVES FOR CHILDREN,14 Research Way,EAST SETAUKET,NY,11733,624410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,250,04/05/2020,"People's United Bank, National Association",NY-01
"d $350,000-1 million",CELESTIAL FREIGHT SOLUTIONS INC.,11630 PIKE ST,SANTA FE SPRINGS,CA,90670,488510,Corporation,Unanswered,Unanswered,Unanswered,,32,05/03/2020,"Bank of America, National Association",CA-38
"e $150,000-350,000","GRATE SOLUTIONS COMPANY, INC.",724 W COMMERCE AVE,GILBERT,AZ,85233,423510,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,05/03/2020,BMO Harris Bank National Association,AZ-05
"d $350,000-1 million",SOUTHWEST AG PARTNERSHIP,897 PO BOX,GARDEN CITY,KS,67846,111199,Partnership,Unanswered,Unanswered,Unanswered,,40,04/07/2020,The Western State Bank,KS-01
"d $350,000-1 million","CUKROWSKI EYE CENTER, PC DBA EAST MICHIGAN EYE CENTER, PC",701 S Ballenger Hwy,Flint,MI,48532,621111,Corporation,Unanswered,Male Owned,Non-Veteran,,57,04/29/2020,Comerica Bank,MI-05
"d $350,000-1 million",PFI CON LLC,8511 SUNSTATE ST,TAMPA,FL,33634,238990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,49,04/14/2020,"PNC Bank, National Association",FL-14
"d $350,000-1 million",AIR PLUS LLC,"103 North Pat St, Suite A",SCOTT,LA,70583,238220,Corporation,White,Male Owned,Non-Veteran,,37,04/04/2020,Rayne State Bank & Trust Company,LA-03
"d $350,000-1 million",L & M SERVICES INCORPORATED,15000 Woodinville Redmond Rd Ne,Woodinville,WA,98072,562910,Corporation,Unanswered,Male Owned,Non-Veteran,,0,04/29/2020,Banner Bank,WA-01
"e $150,000-350,000","BEACON ADMINISTRATORS & CONSULTANTS, INC.",20000 HORIZON WAY suite 600,MOUNT LAUREL,NJ,08054,524292,Subchapter S Corporation,White,Male Owned,Unanswered,,16,04/27/2020,United Bank,NJ-03
a $5-10 million,WASHOE BARTON MEDICAL CLINIC,1107 US HIGHWAY 395,GARDNERVILLE,NV,89410,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,441,04/14/2020,Glacier Bank,NV-02
"d $350,000-1 million",WISCH MOTORS INC,5225 EAST FWY,BAYTOWN,TX,77521,441110,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,80,04/08/2020,Moody National Bank,TX-36
"e $150,000-350,000",ASPEN CREEK PARTNERS INC,1301 MAIN ST,HILTON HEAD ISLAND,SC,29926,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/09/2020,Coastal States Bank,SC-01
"e $150,000-350,000","INSTITUTE OF DIAGNOSTIC IMAGING, L.L.C.",424 Racetrack Rd. NW,FORT WALTON BEACH,FL,32547,621512,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/14/2020,FNBT Bank,FL-01
"e $150,000-350,000","ZIVRA, LLC.",1016 JACKSON BLVD,CHICAGO,IL,60607,541519,Corporation,Unanswered,Unanswered,Unanswered,,13,04/14/2020,BMO Harris Bank National Association,IL-07
"e $150,000-350,000","VENTERS BROS LAWN PROS LAWN AND LANDSCAPING, LLC",22793 PLEASANT GREEN RD.,LA MONTE,MO,65337,561730,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/30/2020,Simmons Bank,MO-04
c $1-2 million,COALFIELD MAC LLC,105 Country Corner Circle P O Box 1420,DANVILLE,WV,25053,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/06/2020,"Premier Bank, Inc.",WV-03
"e $150,000-350,000","XAVIER ADMISSIONS, LLC",1000 Woodbury Road,Woodbury,NY,11797,611699,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/29/2020,American Express National Bank,NY-03
"e $150,000-350,000",RESIDENTIAL GAS PIPING,1640 AIRPORT RD STE 114,KENNESAW,GA,30144,238220,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",GA-11
"e $150,000-350,000",SJ ASSOCIATES NYC LLC,120 5TH AVE FL 4,NEW YORK,NY,10011,541213,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,19,05/01/2020,"JPMorgan Chase Bank, National Association",NY-10
"e $150,000-350,000",JAF LAND SERVICES,10665 SW 190TH ST,CUTLER BAY,FL,33157,541370,Corporation,Unanswered,Unanswered,Unanswered,,14,04/10/2020,City National Bank of Florida,FL-27
"e $150,000-350,000","KREON, INC.",20 MURRAY HILL PKWY STE 180,EAST RUTHERFORD,NJ,07073,999990,Corporation,Unanswered,Unanswered,Unanswered,,18,05/01/2020,"JPMorgan Chase Bank, National Association",NJ-09
"d $350,000-1 million","VINTAGE REAL ESTATE GROUP, INC.",24422 AVENIDA DE LA CARLOTA STE 450,LAGUNA HILLS,CA,92653,541611,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,70,04/14/2020,Pacific Premier Bank,CA-45
b $2-5 million,COMMUNITY SYSTEMS INC.,296 ALVORD PARK RD,TORRINGTON,CT,06790,531110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,367,04/09/2020,"People's United Bank, National Association",CT-05
"e $150,000-350,000","R3P, LLC",2600 8TH AVE Unit 109,NASHVILLE,TN,37204,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,57,04/27/2020,Insbank,TN-05
"e $150,000-350,000","ZOOMBA GROUP, LLC DBA FOODSERVICE EQUIPM ENT &   SUPPLIES",190 N YORK ST,ELMHURST,IL,60126,511120,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,14,04/15/2020,"JPMorgan Chase Bank, National Association",IL-05
"e $150,000-350,000",CALIBER LLC,7900-D Stevens Mill road box 8,Matthews,NC,28104,236115,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/28/2020,Truist Bank d/b/a Branch Banking & Trust Co,NC-09
"d $350,000-1 million",LOS CUCOS MEXICAN CAFE INC.,16216 Clay Rd.,Houston,TX,77084,722515,Corporation,Unanswered,Unanswered,Unanswered,,79,04/16/2020,Prosperity Bank,TX-07
"e $150,000-350,000",GSB SERVICES LLC,12660 S Kirkwood Rd,STAFFORD,TX,77477,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,114,04/27/2020,"Texas Capital Bank, National Association",TX-22
"d $350,000-1 million",TETHYS TECHNOLOGY INC-SBA SMALL 7A TERM,989 Avenue of the Americas,New York,NY,10018,,Corporation,Unanswered,Unanswered,Unanswered,,24,05/03/2020,"TD Bank, National Association",NY-12
"e $150,000-350,000","VIKING WELL SERVICE, INC.",8113 SISSONVILLE DR,CHARLESTON,WV,25320,551112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/09/2020,"WesBanco Bank, Inc.",WV-02
"e $150,000-350,000",RP FINANCIAL LC,1311 A Dolley Madison Blvd #2A,MC LEAN,VA,22101,523930,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/10/2020,Centric Bank,VA-10
"e $150,000-350,000",ANESTHESIA SERVICES OF MERIDEN PC,25 WINDING BROOK LN,WALLINGFORD,CT,06492,621112,Professional Association,Unanswered,Unanswered,Unanswered,,16,04/14/2020,"Bank of America, National Association",CT-03
"e $150,000-350,000",NATIONAL SKI PATROL SYSTEMS INC,133 S VAN GORDON ST STE 100,LAKEWOOD,CO,80228,561612,Corporation,Unanswered,Unanswered,Unanswered,,17,04/09/2020,FirstBank,CO-07
"e $150,000-350,000",STRATEGIC ECONOMICS INC,2991 SHATTUCK AVE #203,BERKELEY,CA,94705,541690,Corporation,Unanswered,Male Owned,Non-Veteran,,,05/03/2020,"Wells Fargo Bank, National Association",CA-13
"e $150,000-350,000","JAMESON'S VERNON HILLS, INC.",151 E. TOWNLINE RD,VERNON HILLS,IL,60061,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,35,04/16/2020,Byline Bank,IL-10
"e $150,000-350,000","GARDEN CITY ENTERPRISES, LLC",MILE 1.5 KLONDIKE HWY PO BOX 535,SKAGWAY,AK,99840,453110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,04/30/2020,Northrim Bank,AK-00
b $2-5 million,FIRE MOUNTAIN GEMS AND BEADS,One Fire Mountain Way,GRANTS PASS,OR,97527,424990,Corporation,Unanswered,Unanswered,Unanswered,,220,04/15/2020,Banner Bank,OR-02
c $1-2 million,"WOOLBRIGHT DEVELOPMENT, INC.",3200 N. Military Trail,BOCA RATON,FL,33431,531390,Corporation,Unanswered,Unanswered,Unanswered,,53,04/08/2020,Renasant Bank,FL-22
"d $350,000-1 million","JOHNSTON MATEJEK SERVICES, LLC",10835 West Little York Rd,Houston,TX,77041,811111,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,70,04/11/2020,"CommunityBank of Texas, National Association",TX-07
"e $150,000-350,000",UNITED STATES CAPITOL HISTORICAL SOCIETY,200 MARYLAND AVE NE,WASHINGTON,DC,20002,712110,Corporation,Unanswered,Unanswered,Unanswered,,16,04/07/2020,The National Capital Bank of Washington,DC-00
"d $350,000-1 million",MAGIC SPACE ENTERTAINMENT INC,2750 Rasmussen Road Ste 205,PARK CITY,UT,84098,711410,Corporation,Unanswered,Unanswered,Unanswered,,12,04/07/2020,Celtic Bank Corporation,UT-01
"e $150,000-350,000",PULSAIR SYSTEMS INC.,1940 124TH AVE NE A 103,BELLEVUE,WA,98009,334512,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/15/2020,First-Citizens Bank & Trust Company,WA-09
"d $350,000-1 million","DENISON DRYWALL CONTRACTING, INC.",2307 4TH AVE,DENISON,IA,51442,238310,Corporation,White,Male Owned,Unanswered,,36,04/04/2020,Crawford County Trust & Savings Bank,IA-04
"e $150,000-350,000",BREEZE HOSPICE LLC,1909 Dublin Blvd Suite A,BELLEVILLE,IL,62221,623110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/15/2020,Midland States Bank,IL-12
"e $150,000-350,000",SATILLA RHEUMATOLOGY &AMP; INTERNAL MEDICINE,South River Oaks Drive,Blackshear,GA,31516,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,31,05/01/2020,"Fund-Ex Solutions Group, LLC",GA-01
"e $150,000-350,000",SAL & CHRIS CORPORATION,43-18 Ditmars Blvd,Astoria,NY,11105,722511,Corporation,Unanswered,Unanswered,Unanswered,,18,04/27/2020,Solera National Bank,NY-14
"e $150,000-350,000",CONGREGATION AGUDAS ACHIM,7300 HART LN,AUSTIN,TX,78731,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,23,04/27/2020,BBVA USA,TX-10
"e $150,000-350,000",PRIME MARINA MV HOLDINGS LLC,"2550 South Bayshore Drive, Suite 208",MIAMI,FL,33133,531390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/06/2020,City National Bank of Florida,FL-27
"e $150,000-350,000","NORTHERN SKY THEATER, INC.",9058 COUNTY ROAD A,FISH CREEK,WI,54212,711110,Corporation,Unanswered,Unanswered,Unanswered,,10,04/04/2020,Nicolet National Bank,WI-08
b $2-5 million,"TIW, INC.",501 W 77th St 0.0,Richfield,MN,55423,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,182,04/09/2020,"JPMorgan Chase Bank, National Association",MN-05
"d $350,000-1 million",PLESCIA ROOFING INC,TBD,ENGLEWOOD,NJ,07631,238160,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,30,04/14/2020,NVE Bank,NJ-09
"e $150,000-350,000",JENUANE COMMUNITIES LLC,5400 EQUITY AVE,RENO,NV,89502,522310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/13/2020,Umpqua Bank,NV-02
"e $150,000-350,000",LS ENERGIA,1200 S PINE ISLAND RD STE 420,PLANTATION,FL,33324,238210,Corporation,Unanswered,Unanswered,Unanswered,,6,05/05/2020,"Bank of America, National Association",FL-23
"d $350,000-1 million",DREYFUSS & BLACKFORD ARCHITECTS,3540 FOLSOM BLVD,SACRAMENTO,CA,95816,541310,Corporation,Unanswered,Unanswered,Unanswered,,44,04/06/2020,River City Bank,CA-06
"e $150,000-350,000",INTERNATIONAL EQUIPMENT TRADING LTD.,955 Campus Dr,Mundelein,IL,60060,423490,Corporation,White,Male Owned,Non-Veteran,,12,04/14/2020,First Midwest Bank,IL-10
"e $150,000-350,000","EATON PIZZA, INC.",410 PENN LINCOLN DR,IMPERIAL,PA,15126,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,45,04/28/2020,First Commonwealth Bank,PA-17
"e $150,000-350,000",LIGHTHOUSE RECOVERY INSTITUTE INC.,1609 S CONGRESS AVE,BOYNTON BEACH,FL,33426,623220,Corporation,Unanswered,Unanswered,Unanswered,,10,04/15/2020,"JPMorgan Chase Bank, National Association",FL-21
"d $350,000-1 million","KOMRO SALES AND SERVICE, INC.",W4666 State Highway 85,DURAND,WI,54736,333517,Corporation,Unanswered,Unanswered,Unanswered,,62,04/15/2020,Citizens Community Federal National Association,WI-03
"e $150,000-350,000",CHECK NOW INC,3436 MAIN STREET,MOSS POINT,MS,39563,525990,Corporation,Unanswered,Unanswered,Unanswered,,29,04/14/2020,Hancock Whitney Bank,MS-04
"d $350,000-1 million","OFF MADISON AVE, LLC","5555 E VAN BUREN ST, SUITE 215",PHOENIX,AZ,85008,541613,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,04/06/2020,Western Alliance Bank,AZ-07
"e $150,000-350,000",KAL PAC CORPORATION,10 FACTORY ST,MONTGOMERY,NY,12549,326112,Corporation,Unanswered,Unanswered,Unanswered,,15,04/11/2020,Salisbury Bank & Trust Company,NY-18
"e $150,000-350,000","ARROWHEAD PRINTING, INC",127 e 2ND ST,DULUTH,MN,55805,323111,Corporation,Unanswered,Unanswered,Unanswered,,14,04/08/2020,National Bank of Commerce,MN-08
"e $150,000-350,000","RELEVAR, LLC",8300 Hall Rd,Utica,MI,48317,621610,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,85,04/10/2020,Advia CU,MI-10
"d $350,000-1 million",FJM FERRO II INC.,263 52ND ST STE 2,BROOKLYN,NY,11220,236210,Corporation,Unanswered,Male Owned,Non-Veteran,,0,04/29/2020,Signature Bank,NY-07
"e $150,000-350,000","FLORIDA PREMIER CONTRACTORS, LLC",3691 Tamiami Trail,PUNTA GORDA,FL,33950,236210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/09/2020,Bank OZK,FL-17
"e $150,000-350,000",SLS INC,412 NEWBURYPORT TPKE,ROWLEY,MA,01969,561730,Subchapter S Corporation,White,Male Owned,Non-Veteran,,35,05/06/2020,The Provident Bank,MA-06
"d $350,000-1 million",MANIFOLD LLC,14900 Ventura Blvd Suite 210,Sherman Oaks,CA,91403,541613,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/27/2020,Idaho First Bank,CA-30
"e $150,000-350,000","JAY ANDREWS SALON & SPA, INC.",2008 Creekside Landing Dr,APEX,NC,27502,812112,Corporation,Unanswered,Unanswered,Unanswered,,22,04/15/2020,Truist Bank d/b/a Branch Banking & Trust Co,NC-02
"e $150,000-350,000",HRC CARIBBEAN LLC,1210 AVE ASHFORD,SAN JUAN,PR,00907,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,80,06/20/2020,Banco Popular de Puerto Rico,PR-00
"e $150,000-350,000",SW FLORIDA HEARING,2643 SE 19TH AVE,CAPE CORAL,FL,33904,453998,Corporation,Unanswered,Unanswered,Unanswered,,16,04/10/2020,"Bank of America, National Association",FL-19
"e $150,000-350,000","HEALTHBACK OF SOUTHERN OKLAHOMA, INC.",16211 N MAY AVE,EDMOND,OK,73013,621610,Corporation,Unanswered,Unanswered,Unanswered,,24,04/13/2020,"BOKF, National Association",OK-05
"e $150,000-350,000","AVOSINA MEDICAL TECHNOLOGIES, LLC","10716 Richmond Highway, suits 204",LORTON,VA,22079,541219,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,17,04/15/2020,Sandy Spring Bank,VA-11
"d $350,000-1 million",ADVANCE ROSS ELECTRONICS CORPORATION,3000 East Marshall Avenue,Longview,TX,75601,333413,Corporation,Unanswered,Female Owned,Unanswered,,30,04/11/2020,"Texas Capital Bank, National Association",TX-01
"d $350,000-1 million",RONALD MCDONALD HOUSE CHARITIES OF OREGON AND SW WASHINGTON,2620 N COMMERCIAL AVE,PORTLAND,OR,97227,813212,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,60,04/27/2020,First Secure Bank and Trust Co.,OR-03
"e $150,000-350,000","PUMPKIN PATCH CHILD CARE OF SOUTHINGTON, LLC",1137 WEST ST,SOUTHINGTON,CT,06489,624410,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,0,04/05/2020,"People's United Bank, National Association",CT-01
"e $150,000-350,000","HARVEST SEASONAL GRILL DELRAY, LLC",21 E Washington St Suite E&F,West Chester,PA,19380,722515,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,58,04/13/2020,"Readycap Lending, LLC",PA-06
"d $350,000-1 million","BERK CONSULTING, INC.","2200 Sixth Avenue, Suite 1000",Seattle,WA,98121,541611,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,23,04/28/2020,"Zions Bank, A Division of",WA-07
"e $150,000-350,000",PERFORMANCE EXCELLENCE PARTNERS LLC,7911 PROFESSIONAL CIR,HUNTINGTON BEACH,CA,92648,541611,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,32,05/03/2020,"Bank of America, National Association",CA-48
