id,name,sponsor,event,venue,place,physical_description,notes,occasion,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status
23305,,GRAND LODGE OF MASSACHUSETTS,FEAST OF SAINT JOHN THE EVANGELIST,SOC;,"MASONIC TEMPLE,BOSTON [MA]",CARD;COL;4.25X7.25;,"wines served;handwritten notes ""500 people"" and a signature;",RELIGIOUS HOLIDAY,1899-908,,,1899-12-27,Grand Lodge Of Massachusetts,,,,complete
28559,,The Dayton Biltmore   Kitty Hawk Room,,,,42x28cm,,,1957-0097_wotm,,,1957-01-01,The Dayton Biltmore   Kitty Hawk Room,,Dollars,$,complete
27283,,Park Lane,brunch,"HOTEL,RESTAURANT",Park Lane,folder; 7.25 x 9.5 inches,"baratta collection; illustrations (cover, interior); chef specialties; wine suggestions; $5.00 per person; printed in the netherlands by kühn en zoon (rotterdam)",,Baratta 9,,,1959-04-26,Park Lane,,Dollars,$,complete
28448,,Peterhof Gaststätten,,,,30x21cm folded; 30x42cm open,,,1958-0096_wotm,,,1958-12-20,Peterhof Gaststätten,,Deutsche Marks,DM,under review
20720,,TOYO KISEN KAISHA,DINNER,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,"b&w photographs of various points of interest in america, hawaii, china;japan;",DAILY MENU;,1900-4359,,,1900-09-13,Toyo Kisen Kaisha,,,,under review
27117,,Tao Yuan Restaurant,daily menu,RESTAURANT,Tao Yuan Restaurant,9 x 5 1/2 in. fold.,includes insert of printed chinese characters.,,Soete 80,,,1939-01-01,Tao Yuan Restaurant,,Dollars,$,complete
31122,,Hotel Astor,,,,34x23cm,,,1933-0171_wotm,,,1933-04-16,Hotel Astor,,Dollars,$,complete
24596,,ABSCHIEDS-KRANZCHEN DER SECTION BERN DES GENFER-VEREINS,DINNER,SOC(?);,"HOTEL-ANGESTELLEN, INNERN-ENGE(?)",FOLDER; 4.5 X 6.75;,menu is in french; remainder of folder in german,OTHER (SOC);,1895-155,,,1895-09-30,Abschieds Kranzchen Der Section Bern Des Genfer Vereins,,,,complete
13029,,CUNARD LINE,BREAKFAST,COMMERCIAL,"R.M.S. ""ETRURIA""",CARD; ILLUS; COL; 4.25X6.5;,steamship co. priced wine list on back; company flag at top of menu;,,1900-2273,,,1900-03-04,Cunard Line,,,,complete
27559,,Norddeutscher Lloyd Bremen,Norddeutscher Lloyd Bremen & Dinner,,,,,,1910-733 ItemA&B,,,1910-03-10,Norddeutscher Lloyd Bremen,,,,complete
32579,Union Club,Union Club,,,,17x14.5cm folded; 17x29cm open,,,1918-0312_wotm,,,1918-11-27,Union Club,,,,complete
22512,,NEW HAMPSHIRE CLUB,DINNER,,"YOUNG'S HOTEL, BOSTON,MASS",BROADSIDE; ILLUS; COL; 4.25 X 7;,,,1897-302,,,1897-11-10,New Hampshire Club,,,,complete
33797,Terrace Garden,Terrace Garden,,,,26x16cm folded; 26x32 cm open,"amsterdam grocery company, inc.",,1914-0254_wotm,,,1914-02-18,Terrace Garden,,,,complete
21180,,COMMERCIAL ORGANIZATIONS OF SAN FRANCISCO,"BANQUET IN HONOR OF THE CHICAGO COMMERCIAL CLUB AND IT GUESTS FROM THE BOSTON, CINCINNATI & ST. LOUIS COMMERCIAL CLUBS",COMMERCIAL,"MARK HOPKINS INSTITUTE OF ART, SAN FRANCISCO, CA",BOOKLET; ILLUS; COL; 5.5X8;,"california wines & moet chandon, pommery, roederer served with individual courses; members of chicago club & their guests listed; also listed: executive committee & individual san francisco  organizations; handpainted flowers decorate food part of menu; s",COMPLIMENTARY/TESTIMONIAL,1901-679,,,1901-03-16,Commercial Organizations Of San Francisco,,,,under review
29986,,The Brass Rail,,,,38x25.5cm folded; 38x51cm open,,,1949-0076_wotm,,,1949-12-23,The Brass Rail,,Dollars,$,under review
12982,,BERT HOUGH & TONY FRANKER - PABST BLUE RIBBON,DINNER,COMMERCIAL,"CHICAGO ,ILL",BROADSIDE; ILLUS; COL; 5.25 X 7.75;,,EVENING DINNER,1900-2483,,,1900-03-16,Bert Hough & Tony Franker   Pabst Blue Ribbon,,Dollars,$,complete
29230,,La Colombe D'or,,,,28x21.5cm; digitize copy 1,french is secondary language,,1995-0002_wotm,,,1995-01-30,La Colombe D'or,,,,complete
23820,,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",FOLDER; ILLUS; COL; 4.5X6.75;,german & english; illustration of athens; musical program on back;,,1901-698,,,1901-03-19,Hamburg Amerika Linie,,,,complete
20926,,TOYO KISEN KAISHA,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,"b&w photographs of various points of interest in america, hawaii, china;japan;",DAILY MENU;,1900-4701,,,1900-10-15,Toyo Kisen Kaisha,,Dollars,$,complete
12738,,SAVOY HOTEL,LUNCH,COMMERCIAL,"[LONDON,ENGLAND]",CARD;ILL;COL;4.25X7;,egyptian water side scene with a spray of flowers on top and a single flower on bottom left;french menu;date in french;london written by hand;,DAILY;,1900-1180,,,1900-02-20,Savoy Hotel,,,,complete
32211,Hotel McAlpin,Hotel McAlpin,,,,25.5x18cm folded; 25.5x36cm open,,,1916-0126_wotm,,,1916-08-13,Hotel McAlpin,,,,complete
34246,Waldorf Astoria,Waldorf Astoria,,,,21.5x13.5cm,,,1914-0948_wotm,,,1914-10-02,Waldorf Astoria,,Dollars,$,complete
34640,Waldorf-Astoria,Waldorf-Astoria,,,,,new york state hotel association,,1912-0824_wotm,,,1912-01-01,Waldorf-Astoria,,,,complete
14155,,M.F.LYONS,LUNCH AND DINNER,COMMERCIAL,"259 BOWERY, NEW YORK",FOLDER; 7 X 11;,priced wine list and menu;,,1906-1032,,,1906-12-31,M.F.Lyons,,Dollars,$,complete
29791,,Empire Tea Room,,,,29x23cm folded; 29x46cm open,,,1946-0020_wotm,,,1946-02-11,Empire Tea Room,,Dollars,$,complete
15577,,,,,,,,,,,,1901-04-26,E.B. Orcutt Restaurant And Cafe,,Dollars,$,complete
23829,,TAMPA BAY HOTEL,DINNER,COMMERCIAL,"TAMPA, FL",FOLDER; 4.5 X 7.5;,logo;,,1901-371,,,1901-02-14,Tampa Bay Hotel,,,,complete
16653,,OCEANIC STEAMSHIP COMPANY,LUNCHEON - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SONOMA,CARD; 5.5 X 7;,logo;,,1901-1251,,,1901-05-12,Oceanic Steamship Company,,,,complete
25164,,CHICAGO BEACH HOTEL,LUNCH,COMMERCIAL,[CHICAGO IL?],CARD; 4.5 X 7.25;,notes that there is a hop that evening in ladies' parlor,,1893-084,,,1893-07-14,Chicago Beach Hotel,,,,complete
32848,Fleischmann's Vienna Restaurant,Fleischmann's Vienna Restaurant,,,,31x20cm folded; 31x40cm open,,,1917-0149_wotm,,,1917-10-23,Fleischmann's Vienna Restaurant,,Dollars,$,complete
17466,,,,,,,,,,,,1900-02-13,Empire Hotel,,Dollars,$,complete
18448,,,,,,,,,,,,1900-06-06,Occidental & Oriental Steamship Company,,,,complete
30540,,Pallister Hotel,,,,13.5x8cm,afternoon tea,,1937-0014_wotm,,,1937-01-01,Palliser Hotel,,Canadian Dollars,C$,complete
22586,,KENSINGTON HOTEL,BREAKFAST,COMMERCIAL,5TH AVE. & 15TH ST. NY,BROADSIDE; 6.5 X 10.25;,some item handwritten; all prices listed;,DAILY,1900-391,,,1900-01-18,Kensington Hotel,,Dollars,$,complete
35344,Travers Island,Travers Island,,,,,new york athletic club,,1913-0572_wotm,,,1913-06-14,Travers Island,,Dollars,$,complete
20419,,PACIFIC MAIL STEAMSHP COMPANY,DINNER,COMMERCIAL,SS CITY OF PARA,FOLDER;5.5X8.75;,handwritten on printed form;mechanically reproduced;2 copies,DAILY;,1900-3245,,,1900-05-12,Pacific Mail Steamshp Company,,,,complete
35303,St. Denis Hotel,St. Denis Hotel,,,,,south african dinner,,1913-0531_wotm,,,1913-05-29,St. Denis Hotel,,Dollars,$,complete
23618,,MAXIM'S,DINNER,COMMERCIAL,"PARIS,FRANCE",BROADSIDE;ILLUS;COL;9.75X13;,all item priced in french;,DAILY;,1906-657,,,1906-08-04,Maxim's,,Francs,FF,complete
21543,,CORNELL UNIVERSITY ALUMNI,TWENTIETH ANNUAL DINNER,EDUC;,"WALDORF-ASTORIA HOTEL, NEW YORK, NY",BOOKLET; ILLUS; COL; 5.5X7;,"french; ""wines a la carte;"" toasts; entertainment committee listed;",OTHER (REUNION);,1900-537,,,1900-01-26,Cornell University Alumni,,,,complete
35447,Waldorf Astoria,Waldorf Astoria,,,,,3 images,,1913-0678_wotm,,,1913-08-25,Waldorf Astoria,,Dollars,$,complete
28298,,American Festival Café,,,,28x22cm folded; 28x43cm open,,,1984-0007_wotm,,,1984-11-22,American Festival Café,,Dollars,$,complete
32405,The Biltmore,The Biltmore,,,,28x18cm folded; 28x36cm open,us food administration rationing suggestions,,1918-0011_wotm,,,1918-01-05,The Biltmore,,Dollars,$,under review
21336,,NEW HAVEN COLONY HISTORICAL SOCIETY,BANQUET IN CELEBRATION OF WASHINGTON'S FIRST INAUGURATION,PROF;,NEW HAVEN CT,CARD; 4.5 X 6.75;,menus used as place card; city noted by fnb;,ANNIVERSARY;,1899-400,,,1899-05-01,New Haven Colony Historical Society,,,,complete
24156,,MAPLEWOOD HOTEL,BREAKFAST MENU,COMMERCIAL,"WHITE MOUNTAINS, NH",BROADSHEET; 5.25X6.25;,very heavy selections for breakfast!,,1892-099,,,1892-07-01,Maplewood Hotel,,,,complete
26630,,Restaurant Allard,,"FOREIGN,RESTAURANT","Restaurant Allard, 41 Rue Saint-Andre-des-Arts, France","Folder, paper, 5.25 x 7.25 inches","dieter zander collection; one menu item is listed for each day of the week, monday through saturday",,Zander 652,,,,Restaurant Allard,,,,under review
26767,,La Grande Cascade,Daily,"FOREIGN,RESTAURANT",La Grande Cascade,Booklet; 11.5 x 16.75 inches,dieter zander collection; illustrated covers; exterior scene spans both back and front covers; signed by author; includes laminated drink menu and prix fixe menu,,Zander 613,,,,La Grande Cascade,,Francs,FF,complete
28408,,Chickland,,,,29x21.5cm folded; 29x42.5cm open,,,1958-0056_wotm,,,1958-09-18,Chickland,,Dollars,$,complete
20304,,LONG BEACH HOTEL,DINNER,COMMERCIAL,"LONG BEACH, L.I, NY",BROADSIDE; ILLUS; 5X8;,hotel logo at top of menu;,,1900-4004,,,1900-08-05,Long Beach Hotel,,,,complete
14386,,ROYAL PALACE HOTEL,DINNER,COMMERCIAL,"ATLANTIC CITY, NJ",CARD; ILLUS; COL; 4X9.75;,sketch of woman at top;,,1901-2065,,,1901-07-28,Royal Palace Hotel,,,,complete
23281,,CITY VIGILANCE LEAGUE,"COMPLIMENTARY DINNER TENDERED TO REV. CHARLES H. PARKHURST, D.D.",PROF;,"JAEGER'S, NEW YORK, NY",BOOKLET; ILLUS; 4.5X6.5;,"photo of guest of honor on cover; includes guest & committee list, alos separate booklet of table plan",COMPLIMENTARY/TESTIMONIAL,1894-110,,,1894-11-27,City Vigilance League,,,,complete
17026,,MILLS HOTEL,DAILY MENU,COMMERCIAL,"BLEECKER STREET, NEW YORK",BROADSHEET; 3.75 X 6;,commutation tickets; tables reserved for ladies;,,1900-2587,,,1900-03-28,Mills Hotel,,,,complete
25873,,N.A.P.D.,DINNER,SOC(?);,"THE NEW WILLARD, WASHINGTON, DC",FOLDER; COL; 5 X 7.25;,cocktails and wines; literary quotes;toasts;,ANNIVERSARY (?);,1906-466,,,1906-05-15,N.A.P.D.,,,,complete
23058,,LESLIE M. SHAW (SECRETARY OF THE TREASURY?),DINNER TO PRESIDENT THEODORE ROOSEVELT,SOC;,THE ARLINGTON (WASHINGTON DC?),CARD; 5 X 7;,wines with each course; u.s. crest; sponsor and event noted by feb;,COMPLIMENTARY/TESTIMONIAL,1906-030,,,1906-01-09,Leslie M. Shaw (Secretary Of The Treasury?),,,,complete
28579,,Arnold's Turtle Vegetarian Café,,,,37x23cm folded; 37x45cm open,,,1985-0015_wotm,,,1985-01-01,Arnold's Turtle Vegetarian Café,,Dollars,$,complete
19979,,NORDDEUTSCHER LLOYD - BREMEN,BREAKFAST,COM,"EN ROUTE - SS ""LAHN""",CARD; ILLUS; COL; 5.5 X 8.25;,menu in both german & english;,,1901-1239,,,1901-05-11,Norddeutscher Lloyd   Bremen,,,,complete
32730,Pennsylvania Railroad,Pennsylvania Railroad,,,,21.5x11cm,,,1917-0467_wotm,,,1917-11-15,Pennsylvania Railroad,,Dollars,$,complete
33917,Waldorf Astoria,Waldorf Astoria,,,,23x14cm folded; 23x28cm open,,,1914-0618_wotm,,,1914-06-18,Waldorf Astoria,,Dollars,$,complete
33510,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0249,,,1915-01-01,Waldorf Astoria,,Dollars,$,complete
32676,Louis Sherry,Louis Sherry,,,,26.5x15cm folded; 26.5x30cm opened,menu also printed in french,,1917-0413_wotm,,,1917-11-12,Louis Sherry,,Dollars,$,complete
31162,,The Ambassador,,,,28x35.5cm,,,1933-0348_wotm,,,1933-06-07,The Ambassador,,Dollars,$,complete
15349,,,,,,,,,,,,1901-05-20,Oceanic Steamship Company   Sonoma,,,,complete
32625,Healy's Forty-second Street restaurant,Healy's Forty-second Street restaurant,,,,33x18cm,luncheon,,1918-0358_wotm,,,1918-03-09,Healy's Forty-second Street restaurant,,Dollars,$,complete
15923,,,,,,,,,,,,1900-12-13,Union College Alumni Association Of New York,,Dollars,$,complete
17125,,HOTEL CHAMPLAIN,DINNER,COMMERCIAL,"CLINTON,NY",CARD; ILLUS; COL; 5.25X8.5,emblem; buildings on hilltop;,DAILY;,1901-2170,,,1901-08-17,Hotel Champlain,,,,complete
20041,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS.K0BE MARU,BROADSHEET;5.5X7.75;,handwritten;green border;,DAILY MENU;,1900-4749,,,1900-10-19,Nippon Yusen Kaisha,,,,complete
27244,,Statler Hilton,dinner,"HOTEL,RESTAURANT",Stalter Hilton; Hotel Statler,folder; 8.25 x 11 inches,"baratta collection; chef buisson suggests; room service ten cents additional per portion; welsh rarebit; cocktails named (the coffee house, the lounge, the men's bar, the pen and sword, the embassy); illustrations; color",,Baratta 19,,,1962-03-01,Statler Hilton,,Dollars,$,complete
30537,,Hotel Saskatchewan,,,,31x23cm,breakfast,,1937-0011_wotm,,,1937-01-19,Hotel Saskatchewan,,Canadian Dollars,C$,complete
32671,Reformed Church of Harlem,Reformed Church of Harlem,,,,17.5x10cm folded; 17.5x20cm opened,collegiate club of new york,,1917-0408_wotm,,,1917-11-12,Reformed Church of Harlem,,Dollars,$,complete
30847,,Waldorf Astoria,,,,24x18cm folded; 24x36cm open,,,1938-0010_wotm,,,1938-03-01,Waldorf Astoria,,,,complete
33342,J.B. Greenhut Co.,J.B. Greenhut Co.,,,,,,,1915-0081,,,1915-01-01,J.B. Greenhut Co.,,Dollars,$,complete
34820,Hotel Chamberlin,Hotel Chamberlin,,,,,virginia state bar association,,1912-0541_wotm,,,1912-08-08,Hotel Chamberlin,,,,complete
34451,Waldorf Astoria,Waldorf Astoria,,,,15x11.5cm folded; 15x23cm open,group viii new york state bankers association,,1913-0074_wotm,,,1913-01-20,Waldorf Astoria,,,,complete
30401,,The Carolina Inn,,,,28x21.5cm folded; 28x43.5cm open,,,1940-0065_wotm,,,1940-04-06,The Carolina Inn,,Dollars,$,complete
24298,,HARRY M.STEVENS,3RD ANNUAL LUNCHEON TO THE PRESBREY GIRLS,SOC;,"VICTORIA HOTEL, NY",BROADSIDE; HOTEL EMBLEM; COL; 4.25X6.5;,,ANNUAL;,1905-345,,,1905-05-20,Harry M.Stevens,,,,complete
31916,,"S.S. ""George Washington""""""",,,,19x14cm folded; 19x28cm open,breakfast,,1921-0102_wotm,,,1921-10-14,"S.S. ""George Washington""""""",,,,complete
28878,,Jockey Club Mexicano,,,,29x21.5cm,,,1962-0033_wotm,,,1962-06-10,Jockey Club Mexicano,,Mexican pesos,$,complete
34928,Hotel Astor,Hotel Astor,,,,,national retail dry goods association,,1913-0155_wotm,,,1913-02-04,Hotel Astor,,,,complete
33223,Pennsylvania Railroad,Pennsylvania Railroad,,,,20x13cm,,,1917-0973_wotm,,,1917-12-21,Pennsylvania Railroad,,Dollars,$,complete
30116,,Enrico & Paglieri,,,,26.5x18cm folded; 26.5x35.5cm open,,,1943-0078_wotm,,,1943-10-10,Enrico & Paglieri,,Dollars,$,complete
30026,,The Metropolitan Club,,,,20x17cm folded; 20x31.5cm open,,,1948-0033_wotm,,,1948-04-06,The Metropolitan Club,,,,complete
35224,Hotel Astor,Hotel Astor,,,,,german publication society,,1913-0452_wotm,,,1913-05-09,Hotel Astor,,Dollars,$,complete
33332,Keen's English Chop House,Keen's English Chop House,,,,,,,1915-0071,,,1915-01-01,Keen's English Chop House,,,,complete
22745,,DARTMOUTH COLLEGE ASSOCIATION OF NEW YORK,34TH ANNUAL DINNER,EDUC;,"DELMONICO'S, NEW YORK, NY",BOOKLET; ILLUS; COL; 5.25X6.75;,booklet; includes priced wine list; toasts; college seal on cover; silk ribbon attchments;,ANNIVERSARY;,1898-056,,,1898-01-21,Dartmouth College Association Of New York,,Dollars,$,complete
29121,,Indrapoera,,,,21x15.5cm folded; 21x30.5cm open,secondary languages are german and swedish,,1961-0049_wotm,,,1961-08-01,Indrapoera,,Deutsche Marks,DM,complete
28432,,Ruland Am Marft,,,,21x15cm,,,1958-0080_wotm,,,1958-11-14,Ruland Am Marft,,Deutsche Marks,DM,under review
15668,,,,,,,,,,,,1900-10-09,Toyo Kisen Kaisha   Hing Kong Maru,,,,complete
16608,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,CARD; ILLUS; COL; 5.5X8.25;,ship; menus separate in german and english; may be used as postcard;,DAILY;,1901-1892,,,1901-07-07,Norddeutscher Lloyd Bremen,,,,complete
30923,,[Restaurant Name And/Or Location Not Given],,,,25x16cm folded; 25x32cm open,arthur h. rumpf menu collection,,1938-0189_wotm,,,,[Restaurant Name And/Or Location Not Given],,,,complete
27874,,Hotel Savoy,,,,26.5x18cm,,,1971-0004_wotm,,,1971-03-28,Hotel Savoy,,Escudos,$,complete
22391,,HAMBURG-AMERICA LINIE,DINNER,COMMERCIAL,POSTDAMPFER (MAIL STEAMER) WALDERSEE,FOLDER; COL; ILLUS; 4.5 X.7;,menu in german and english; illustration of ship's officers; cherub and flowers on back cover; music program;,,1899-545,,,1899-08-15,Hamburg America Linie,,,,complete
15701,,,,,,,,,,,,1900-11-29,Stanton House,,,,complete
31882,,The Chateau   Lake Louise,,,,28x17cm,,,1921-0063_wotm,,,1921-07-06,The Chateau   Lake Louise,,Dollars,$,under review
20002,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,ABOARD SS KAMAKURA MARU,BROADSIDE; 5.5X7.75;,hand written;,,1900-4140,,,1900-08-23,Nippon Yusen Kaisha,,,,complete
34455,Jefferson Hotel,Jefferson Hotel,,,,25.5x20cm folded; 25.5x40cm open,business men's league of saint louis,,1913-0078_wotm,,,1913-01-21,Jefferson Hotel,,,,complete
18040,,,,,,,,,,,,1900-05-23,Transportation Club Of New York,,,,complete
26615,,Au Mouton de Panurge,,,Au Mouton de Panurge,Booklet; 6.5 x 10 inches,dieter zander collection.,,Zander 575,,,1954-06-14,Au Mouton De Panurge,,Francs,FF,complete
13233,,NARRAGANSETT HOTEL CAFE,DINNER,COMMERCIAL,"PROVIDENCE, RI",FOLDER; 5.75X10.25;,a la carte menu; includes priced wine & liquor list;,,1900-3641,,,1900-06-14,Narragansett Hotel Cafe,,Dollars,$,complete
16852,,CUNARD LINE,LUNCH,COMMERCIAL,RMS CAMPANIA,CARD;ILL;COL;4.25X6.5;,red flag with lion in upper left;priced wine list on back;,DAILY;,1900-1067,,,1900-02-14,Cunard Line,,Shillings,s,complete
31856,,El Tovar,,,,16x12cm,,,1921-0037_wotm,,,1921-05-02,El Tovar,,,,under review
20087,,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,EN ROUTE ABOARD FURST BISMARCK,CARD; ILLUS; COL; 5 X 8;,menu in german and english; illustation of ship and woman in classical dress with shield saying hapag;,,1901-1743,,,1901-06-23,Hamburg Amerika Linie,,,,complete
29346,,Le Riveria,,,,21x15cm folded; 21x30cm open,,,1990-0013_wotm,,,1990-06-07,Le Riveria,,,,complete
15417,,,,,,,,,,,,1901-06-08,St. Louis Club,,,,complete
22537,,HAMBURG-AMERIKA LINIE,LUNCHEON,COMMERCIAL,ON BOARD S.S.AMERIKA,BROADSIDE;GOLD TRIM;6X9.25;,menu in german & english;,DAILY;,1906-648,,,1906-07-27,Hamburg Amerika Linie,,,,complete
21257,,HOLLY INN,BREAKFAST,COMMERCIAL,"PINEHURST, NC",CARD; ILLUS; COL; 5X6.75;,hotel seal at top;,,1901-145,,,1901-01-21,Holly Inn,,,,complete
34915,Hotel Savoy,Hotel Savoy,,,,,morse electric club,,1913-0142_wotm,,,1913-02-01,Hotel Savoy,,,,complete
16755,,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,BROADSHEET; ILLUS; COL; 10.5 X 9.5;,handwritten; illustration of children carrying lanterns and drum; map on back of routes covered by line;,,1900-4216,,,1900-08-31,Nippon Yusen Kaisha,,,,complete
12610,,,,,,,,,,,,1900-04-20,Hotel Imperial,,,,complete
33679,Great Northern Hotel,Great Northern Hotel,,,,18x14cm folded; 18x28cm open,american hotel protective association,,1914-0135_wotm,,,1914-01-30,Great Northern Hotel,,,,complete
25309,,CHAMBER OF COMMERCE OF THE STATE OF NEW YORK,ONE HUNDRED AND TWENTY FOURTH ANNUAL BANQUET,SOC;,DELMONICO'S [NEW YORK],FOLDER;ILLUS;9X6.25;,"menu written in french, held together at the top by two red ribbons,includes a view of new york harbor a medallion and various symbols , all of which is described in details on opposite side of the menu , two identical menus;",,1892-132,,,1892-11-15,Chamber Of Commerce Of The State Of New York,,,,under review
32989,Pennsylvania Railroad,Pennsylvania Railroad,,,,26.5x15.5cm,,,1917-0729_wotm,,,1917-11-28,Pennsylvania Railroad,,Dollars,$,complete
31230,,Plaza Hotel,,,,31.5x20cm,56 menus bound into one volume,,1933-0010_wotm,,,1933-02-15,Plaza Hotel,,Dollars,$,complete
23156,,HAMBURG-AMERIKA LINIE,FRUHSTUCK-LUNCHEON,NAV;,"AN BORD DER ""AMERIKA""",CARD; ILLUS; COL; 6X9.25;,table d'hote menu in german and english; one in a series of menus of several different passenger classes for this ship; decorative border;,,1906-596,,,1906-07-20,Hamburg Amerika Linie,,,,complete
21131,,THE LINCOLN CLUB,ANNUAL BANQUET IN COMMEMORATION OF THE 98TH ANNIVERSARY OF THE BIRTH OF ABRAHAM LINCOLN,SOC;,"BROOKLYN, NY",FOLDER; ILLUS; COL; 8.25X11;,wines listed; photo of lincoln; illustration of lincoln club; toasts listed; printed on brown stock;,PATRIOTIC HOLIDAY;,1907-214,,,1907-02-12,The Lincoln Club,,,,complete
28592,,Ferrara,,,,25x17cm folded; 25x35.5cm open,italian is secondary language,,1985-0028_wotm,,,,Ferrara,,Dollars,$,complete
31057,,Hotel Pierre,,,,20x12.5cm,,,1933-0131_wotm,,,1933-05-13,Hotel Pierre,,,,complete
20634,,NIPPON YUSEN KAISHA - S.S.KINSHIN MARU,DINNER,COMMERCIAL,EN ROUTE,"BROADSHEET; ILLUS, JAPANESE ; COL; 1O X 9.5;",handwritten menu; map on back showing route;,,1900-4919,,,1900-11-24,Nippon Yusen Kaisha   S.S.Kinshin Maru,,,,complete
32555,The Homestead,The Homestead,,,,16.5x12cm folded; 16.5x24cm open,,,1918-0288_wotm,,,1918-04-23,The Homestead,,,,complete
21943,,ST.REGIS HOTEL,LUNCHEON,COMMERCIAL,?,BROADSHEET;5X8;,same menu in french on reverse side;,DAILY;,1906-320,,,1906-03-19,St.Regis Hotel,,Dollars,$,complete
26708,,The Colony Restaurant,Dinner,RESTAURANT,The Colony Restaurant,Folder; 11 x 17 inches,dieter zander collection.,,Zander 545,,,1955-07-22,The Colony Restaurant,,Dollars,$,under review
27643,,"Supper Menu, Red Star Line Antwerpen New York Antwerpen Boston",Supper Menu,,,,,,1910-813,,,1910-03-13,"Supper Menu, Red Star Line Antwerpen New York Antwerpen Boston",,,,complete
27845,,Compagnie Générale Transatlantique,,,,34x24 cm folded; 34x48cm open,english is the secondary language,,1972-0007_wotm,,,1972-02-26,Compagnie Générale Transatlantique,,,,complete
22100,,ROYAL POINCIANA,DINNER,COMMERCIAL,"PALM BEACH, FL",CARD; ILLUS; COL; 4X7.25;,hotel seal at top of menu;,,1901-798,,,1901-03-30,Royal Poinciana,,,,complete
29682,,Pennsylvania Railroad,,,,28x18cm,,,1944-0002_wotm,,,1944-03-10,Pennsylvania Railroad,,Dollars,$,complete
28430,,Stouffer's,,,,25x20.5cm folded; 25x40.5cm open,,,1958-0078_wotm,,,1958-11-11,Stouffer's,,Dollars,$,complete
23415,,THE POMHAM CLUB,ANNUAL DINNER,SOC;,"THE WELLINGTON, PROVIDENCE RI",CARD; COL; 4.25 X 6.5;,champagne;,ANNIVERSARY;,1906-033,,,1906-01-09,The Pomham Club,,,,complete
29685,,Barbizon Plaza,,,,30.5x23cm folded; 30.5x45.5cm open,,,1944-0005_wotm,,,1944-02-12,Barbizon Plaza,,Dollars,$,complete
16640,,OCEANIC STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS VENTURA;2ND CABIN,FOLDER;ILLUS;COL;5X7.5;,busy illustrated front cover and back cover;handwritten and duplicated on form;,DAILY;,1901-1530,,,1901-06-04,Oceanic Steamship Company,,,,complete
18202,,,,,,,,,,,,1900-05-01,Southern Railway,,,,complete
32167,Hotel McAlpin,Hotel McAlpin,,,,25.5x18cm folded; 25.5x36cm open,,,1916-0082_wotm,,,1916-06-11,Hotel McAlpin,,,,complete
27499,,Norddeutscher Lloyd Bremen,Dinner,,,,,,1910-805,,,1910-03-13,Norddeutscher Lloyd Bremen,,,,complete
32338,Wm. F. Healy's 42nd St. Grill,Wm. F. Healy's 42nd St. Grill,,,,20.5x13cm,,,1918-0214_wotm,,,1918-02-18,Wm. F. Healy's 42nd St. Grill,,Dollars,$,complete
21739,,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,SS GRAF WALDERSEE,FOLDER;ILL;COL;4.5X7;,"separate listing in german and english;music program;front cover illustrated with ships at sea,back cover with birds in nest,inside covers show bird drinking from wine bottle and bird feeding young in nest;",DAILY;,1900-562,,,1900-01-28,Hamburg Amerika Linie,,,,complete
26689,,Hana-Bishi,Evening menu,RESTAURANT,Hana-Bishi,Folder; 9.5 x 12.75 inches,dieter zander collection; includes instructions on how to properly use chopsticks.,,Zander 393,,,1970-01-01,Hana Bishi,,Dollars,$,complete
26517,,Restaurant Le Carlton,,,Restaurant Le Carlton,Folder; 10.25 x 13.25 inches,"dieter zander collection; cover artwork is ""l'oiseleur"" by jean picart le doux.",,Zander 190,,,1961-05-01,Restaurant Le Carlton,,,,under review
32236,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,14x8cm folded; 14x16cm open,yale,,1916-0151_wotm,,,1916-01-01,[Restaurant name and/or location not given],,,,complete
14685,,,,,,,,,,,,1900-11-12,Albany Zouave Cadets,,,,complete
26751,,Unknown,,,Unknown,Folder; 5.75 x 8.25 inches,dieter zander collection; fixed menu.,,Zander 248,,,1996-05-06,Unknown,,,,complete
